,cleaned_review,cleaned_review_length,review_score
11694,got of these they work really well but it has to be plugged into the usb in order for it to light up which is stupid you can use them on controller without also plugging the usb into something else but great for pc ,44,4.0
12396,this gaming headset is perfect there is no noise at all when tried it there was no noise but there actually was some noise around me the sound is so good you can control it so easy also you can mute and unmute your mic at anytime thie headphone is the best headphone for small and big gamers ,58,5.0
941,worked for only week when went to recharge it for the first time the light went on for minute and then just shut off one use mouse ,27,1.0
3452,i really like this mouse just wish had way to know what the battery was at or when it is getting low ,22,5.0
11608,sounds quality is trash you can barely hear the game the mic is also terrible everyone is saying sound muffled will never buy from this company again ,27,4.0
9643,it looks good and like the lighted keys when need to use my computer at night for short time no longer have to turn on the light ,27,1.0
1669,dont buy stopped working after weeks,6,4.0
4142,would recommend and would buy again ,6,5.0
9139,the keyboard is definitely quiet but the enter key is in an awkward position if you learned how to type and don hunt and peck you will constantly be hitting the slash key rather than the enter key this gets very frustrating when trying to type reports and documents it has nice look and my kids thought it was cool with the colors but sadly it was returned due to it not being practical for my needs,77,4.0
6556,battery life is terrible and mouse stops working from time to time no idea how this product has such high reviews ,21,2.0
2207,works well worth it,4,1.0
7266,i love that do not need batteries it recharges fairly quick slim design fits my had perfectly also love can turn it off ,23,5.0
9541,very nice colors beautiful and quality,6,3.0
3042,not work good ,3,1.0
8818,i very happy with the keyboard,6,5.0
4579,this is the worst mouse ever ,6,1.0
3883,this mouse is great for what use it for like the rgb effects not really designed for gaming,18,5.0
2398,i enjoyed using the mouse while it lasted but after months of light use the scroll wheel collapsed mouse is still responsive but scrolling no longer works which makes it practically useless to me ,34,1.0
15029,it great speaker would recommend,5,3.0
4919,this mouse is of great quality,6,3.0
3099,love my mouse love that it comes with the usb adapter it was very easy to instal works perfectly ,19,5.0
4643,the mouse was great it worked very good at first but one day it suddenly stopped charging so haven used it in while ,23,5.0
12787,they are so comfortable and work as described the sound is as if your in movie theater clear and perfect ,20,4.0
8300,i ordered one to try out it kept disconnecting if didn press key for seconds won hold charge at all so requested replacement it came and same deal just disconnects middle of using it needless to say now have useless wireless keyboards in my house ,45,5.0
7589,didn work piece of crap,5,5.0
6304,it really waste of money bought it in august and started falling apart end of sept and completely broke in nov not worth the money ,25,5.0
3739,i love this mouse actually purchased two because of the look but they are great use one at my home office and one at my office ,26,3.0
7092,it is the loudest mouse have owned so far it makes weird internal noise that is high pitch hum the clicks are super loud the scrolling is loud it works great with macbook and does what is is suppose to but way too loud for me overall not fan and wouldn recommend ,52,5.0
15239,very good sound and very well made,7,5.0
16612,after hours of youtube reviews and black friday cyber sale decided to go with this large awkward speaker with only decent battery life and ok sound quality know now for fact that the bose is way better the charge distorts at about of max volume and doesnt have the bass like that of smaller devices just because you add some flexy vibrating cones on the ends doesnt mean there will be better bass ,73,2.0
1419,the only adjustment personally needed to make was learning to work the sleep mode and click the button to wake it back up other than that love this mouse for work the lights on it still work almost months later with no issue the charge on the mouse plugs into standard micro usb cord and the mouse will hold charge with daily use for about days usually just end the evening plugging in to micro usb port and am always good to go grat buy and will replace with the same when the time comes ,95,5.0
4822,i love it,3,1.0
15455,i love it,3,2.0
9573,cant believe the quality for the price highly recommend this to anyone building either new office set up or gaming set up ,22,5.0
2634,the mouse itself still works but the usb port has just broken in million pieces my laptop stays at home and it is what use as my home computer after about month of use the usb port is just the piece that pushes into the laptop and the plastic tip is just gone one more break and it will either be stuck in my computer or will be unable to use the mouse ,73,5.0
15414,the charge does not give the same bass and sound quality as the boombox but is really quite awesome in its own respect when you consider it is only the size of small thermos this baby really puts out great for picnics poolside and anywhere you want compact source of music was really impressed with the sound ain your grandpa radio that for sure ,64,4.0
1066,the scroll broke within hours of taking out of package can still use it to open tabs but can scroll ,20,5.0
2737,this product is very good and nice to hold and use will recommend this mouse to everybody ,17,1.0
7352,i was looking to buy portable mouse for travel and was going to buy regular battery one but saw this pop up as an option really like the mint green color it affordable easy to use connects fast and very low profile the clicker is quiet too scroller works great as well charged it up connected via usb to my dock station and it was ready to go love it ,70,5.0
2208,usb adapter doesn work and light on mouse fuzzes out when plugged into different computer that allows for usb ,19,4.0
12042,these are really good headphones for the price they work for my kids great got them each pair and they really like them used them for an evening of fortnite and the sound was clear and it seemed to me everyone could understand me fine ,45,5.0
5348,it stopped working after months right in the middle of my shift at work ,14,1.0
1120,i bought this as wireless mouse have used it for less than month and it doesn hold charge unless it plugged in will be returning it and do not recommend this product ,32,4.0
8200,this keyboard is really light wait quality is top notch you can type for hours without getting tired good gaming keyboard as well good company with good quality products highly recommended klim products ,33,1.0
8177,we use this in our gaming business and it seems to be doing good job ,15,1.0
12659,the clear sound,3,5.0
11994,if like me your hat size is in the giant section these will work slide on and off easily without compromising sound ,22,5.0
11475,these headphones have really good sound quality especially for the price ,11,4.0
12559,i think it very good and affordable ve owned this for few months and have no complaints tbh,18,5.0
14493,we bought speakers to see which one we loved more this was the note expensive one and after we tried then both it wasn even close the quality of this speaker was awful compared to an off brand and it was half the cost wouldn spend this type of money on it just for the name there are better ones that are way better and cheaper ,66,5.0
13587,very good quality headphones great for gaming while playing and using it is noise cancelling which is amazing definitely should buy,21,5.0
14713,best bt speaker ve bought by far easily connect sound is very clear and the bass is jumping great buy,20,5.0
10488,i not sure what he is doing but there is sharp piece of plastic cutting him works great though ,19,1.0
13784,very nice headset very comfortable and great for gaming ,9,5.0
11682,while these headphones offer great value would recommend them to anyone but gamers this is annoying while gaming because they are very loose and gets you distracted even after putting it on tight most setting it undoes the setting have rather average sized head ,44,2.0
8237,good pricing for what they offer extremely happy with this keyboard ,11,1.0
15138,love it ,2,5.0
12841,awesome got pair of these for my brothers birthday and he really liked them,14,5.0
16398,got it for my nephew he had smaller one but wanted to upgrade got really good deal during black friday sale nice system for home and now he using smaller one for his car ,34,5.0
5028,would prefer to buy bcz its cheap and nice,9,5.0
16076,has good sound but tuned more on bass side boom boom it makes hard to listen to minute details in musicit would be great if jbl provides equalizer feature in app so user can customize bass treble according to their own preference ,42,2.0
15510,kids love this item,4,5.0
7670,this is the cheapest flimsy made in china item ve seen do not buy it never worked out of the box ,21,4.0
7948, was in the market for new mouse as my logitech wireless was going bad on me was red to stay wireless and had budget the logitech and other named brands were just too expensive when wanted one that looked cool and the cheaper ones were too normal looking got this one as it was cheap and the led lights were cool feature got it and it feels great it feels like an apple mouse and the buttons were really quiet and didn have the typical mouse click sound edit had to get other mouse as my first broke it was completely my fault as it had fell and was stepped on by accident since it was so cheap just bought another and it works as well as the first ,129,5.0
2990,i was initially in love with this mouse however soon after while scrolling the mouse stopped scrolling you don realize how something so small you really see crucial everything works for the scroll to just stop literally want to throw the whole mouse out and probably will decided to hold on to it cause it just so cute and matches my laptop however soon after the sensor and clicker stopped working as well now forced to get new mouse ,79,5.0
1467,bought to replace older belkin that had no wheel trying to learn cad so the wheel is necessary this mouse is amazing can believe the cost my girlfriend stole it to take to work so ordering another one very impressed ,40,1.0
2350,wireless mouse went out ordered this one arrived early feels good in hand easy to control the lights are cute as they change colors lol but the overall feel is good not huge and the recharge is most def the highlightthank you,42,1.0
16047,use the charger cable in edge of the box inside thin black box that looks like spacer do not use an apple macbook charger with its usb cable does not charge when connected to apple macbook charger with its usb cable sound quality and volume are great this speaker does barely squeeze into my bicycle bag that mounts to the handbag on my bike but after put the speaker then pack extra bubble wrap inside the bag because the speaker to round and tends to rotate while ride my bicycle when the speaker moves so the buttons are in the down position and hit bump on the trail then the speaker turns off ,113,2.0
12794,great headphones ,2,5.0
10169,my son loves these for using with his tablet or plugging into the nintendo switch ,15,5.0
10877,poor quality the noise sucks and the sound quality is horrible wouldn even buy it for ,16,5.0
1046,works well very responsive,4,1.0
5433,bought in january it april and it won charge so it useless ,12,3.0
10626,did not work at all cheaply made and very disappointed,10,5.0
5367,i bought this mouse for my work laptop the right click on the mouse is constantly getting stuck and the left click seems to take several pushes before it recognizes what it is supposed to do overall wouldn buy this again would definitely recommend spending allitle more and getting better mouse to get the job done ,56,5.0
11795,incredible it is so good you can mute yourself while gaming without going to settings and doing it ,18,5.0
11761,great quality headphones love the audio output easy to setup highly recommend them ,13,5.0
12268,this already quit working and bought it end of january can find customer service ,14,5.0
9727,purchased this keyboard for the office use back in may great keyboard quiet no delays battery lasted for about month at first then had to charge it every couple of weeks then every few days and now it died completely and cannot be used when plugged in very disappointed that it only last months ,54,5.0
6472,after day or the mouse would not work at all it was not problem with the connection my computer was able to pick up the bluetooth no problem the mouse itself would not work unless it was plugged into some sort of charger kind of defeats the purpose of wireless mouse ,51,1.0
8120,i honestly love this product the keys are very comfortable to use and the ergonomics of the keyboard are conducive for gaming and typing my keyboard did experience some issues with the left side shift key after about years of heavy use so reached out to customer support and was mailed replacement in about days after contacting them the customer support team is extremely friendly and helpful overall this is an excellent product and excellent company will absolutely purchase any pc hardware from klim in the future ,87,5.0
14547,disappointed no usb or booklet supplied ,6,5.0
14647,maybe got dud but the battery life is terrible lasts maybe minutes if am lucky seller wouldn return or replace but amazon did got new one and it works right ,30,5.0
298,do not recommend bought it two months ago and the roller part already broke and it is now useless,19,1.0
10623,my son loves the headset he enjoys how it works ,10,5.0
9591,i had issue with the keyboard but received the replacement so fast with quick response really good quality for this price so you can have better keyboard with higher pricing but may not satisfy your pricing range ,37,5.0
14593,i bought jbl charge in came with an extra long usb cord and power brick now you get measly ft long cable,22,5.0
9047,it is pretty keyboard but the battery life is extremely disappointing ve had to plug it in to recharge about times now and it only just arrived days ago ,29,2.0
2638,bought this mouse for work because didn want to use the corded mouse my company gave me not even two months in the mouse scroller breaks never dropped the mouse never did anything but charge it twice week and use it for work had to overnight ship completely different mouse for work the next day very disappointed because really liked the mouse and had even told my coworkers to buy this glad they didn waste their money like did ,79,1.0
17192,this speaker actually lives up to its advertisements the sound is clear and loud the battery life has lasted hours on multiple occasions all for decent price ve recommended it to all my friends specifically the ones that went the ultra cheap route ,43,1.0
14864,i have no complaints great sound full bass and aesthetically pleasing don plan on using the waterproof capabilities but definitely intend to use the power bank at some point ,29,1.0
10631,excellent gaming headset for my gamer works well on the xbox one gaming console customer service was exceptional bought as gift and so far nothing but delight from my gamer thank you bango for making my purchase worth my while ,40,5.0
2538,this mouse is terrible super glitchy the mouse clicks on things your not clicking on you put the curser on something and go to click it and it glitches and clicks something else not recommend,35,1.0
9480,this is regular keyboard light weight works ok not good for gaming it drops signal signal is intermittent and or keyboard light turns off quickly ,25,5.0
14923,terrible sound no bass return it,6,5.0
6266,for my laptop and received it the next day ,9,1.0
6685,just bought near end of july already having issues battery drains extremely fast pointer has tracking issues won click most of the time have to repeatedly click on something for it to work ,33,1.0
613,if you want to have to charge mouse more than use it this product is for you had moderate hopes but this mouse falls short of even those,28,1.0
6298,mouse only right clicks making it useless have read others are having this problem too went into computer settings everything is set up right mouse does not work,28,5.0
16651,great coloque great speaker,4,5.0
62,feels very cheap wouldn charge on my laptop had to plug it in on my desktop to charge it finally got it charged just for it to die after hours of non continuous use it getting returned ,37,4.0
2394,i plugged it in and let it charge over night was so excited to use it becuae though it was so cute did not work from day when turned the power on it would flash red then would try to use it and nothing zero zip nothing would work waste of time buying it waste of time trying to get it to work and now waste of time having to return it so very disappointed,75,1.0
10886,my grandson loved them,4,5.0
2328,good mouse can use for working at home ordered the rose gold which is pretty cute for desk decor and the lights are fun it functions well and it quiet when you click which is great,36,5.0
4375,careful with this one bought it last month the return window closed oct and it broke today any chance of good will exchange folks ,24,5.0
5406,stopped working days after the day cutoff for returns it worked great while could use it but of course this is unacceptable won buy from this seller again ,28,1.0
15716,we got this for my son birthday and it has been great speaker he uses it with his friends all the time on the back of his truck and we have used several times around the pool the speaker is plenty loud enough to hear over the equipment and it has great bass response for such small package the battery seems to stay charged forever and we have not had one single issue with bluetooth connectivity also like the fact that you compare this with other speakers to have true surroundsound when you re out with your buddies or at party ,101,5.0
13788,very comfortable and good audio quality and my friends don complain about how sound anymore ,15,5.0
4060,just ordered this as nice wireless mouse for my surface pro it works nice but when went to pull the usb out of the surface pro part of it stayed stuck in the port had to use pliers to pull it out not sure if this just tight fit or poor workmanship other than that the mouse works fine ,59,5.0
14562,great sound have one on my patio and one with my camping gear,13,5.0
4403,overall love this mouse the size weight clicking is all fabulous however ve had two of these now and the middle scroller has randomly fallen in without rough use it wasn dropped literally was not even touching it the second time and heard it fall if you need to use the middle scroller lot do not recommend purchase if you don use that feature then it great mouse ,68,1.0
4370,this mouse is more comfortable than my older model it accurate and quick when use it the sleep mode works great and it holds charge longer than expected it would so far it works as it should and the colors are cute feature ,43,5.0
7719,it so quiet and easy on my hands when making art on my laptop this mouse has smooth cursor movement and is super easy to charge no more batteries ,29,1.0
13570,sound and mic quality are top notch very pleased with the product,12,5.0
8784,broke inside my laptop had to remove it with tweezers this was christmas gift it didn last days ,18,3.0
11172,ps works great can hear word people say around me they have to yell for me to hear ,18,5.0
4997,bought it in march and now the roller thing does not work mouse was never dropped opened and found that the attachment of the roller is broken it works as intended and love that it is rechargeable ll buy another one if it lasts long enough then maybe the first one is just fluke ,54,5.0
12435,xbox,1,5.0
1591,stopped charging after months poor quality ,6,1.0
17292,stellar sound and built like brick easy to sync to my phone and lasts forever use it every morning seriously and people love the sound very clear and sounds great low and at high volume,35,5.0
3101,works great only have to charge it once every weeks and use it daily at the office ,17,2.0
5932,bought this for my daughter as christmas gift we tried multiple times to sync it to her computer it would work for couple of seconds and then stop working return window closed and stuck with it made cheaply don purchase ,40,5.0
14210,at noise levels befitting age subdued rock and rollers this speaker performs admirably ,13,5.0
14440,this item sounds great and looks great but it doesn stay charged so that makes it useless or decorative paperweight ,20,5.0
8645,pleased overall with the exception that the volume control doesn work with my mac desktop,15,4.0
14907,i ve had this speaker for some time now like years today my wife and drove from our house to the store about miles away in the rain turning into the lot hear rattle on top of the car where put my speaker when was cleaning the garage and forgot about so whip into space freaking out that lost broke my speaker forever but it was still on the car jerking into the space made it fall though grabbed it turned it on connected played great this thing survived fall off my car after driving miles in the rain no regrets for this purchase ,104,5.0
5301,i have not had this mouse for little over days love the feel of the mouse and how sleek it is however no matter how much charge the mouse it stops responding after about minutes of use have found myself removing the dongle from my laptop several times day just to make the mouse respond bought the mouse to improve my work functionality to no avail ,66,1.0
16133,i love my speaker it my best friend ,8,2.0
13988,i like how the headset feels comfortable usually after hour of game play my ears start to hurt not with the new ones highly recommend would like to add the great customer service too ,34,5.0
2871,i really like the feel and look of this mouse don like that anytime stop using the mouse for minute or two that the mouse doesn react end up turning it off and on again to get it working interrupted frequently while using the mouse so it not realistic for me to turn the mouse off every time stop using it edit today is day of using the mouse while wait to receive the other mouse bought the mouse no longer consistently turns on when turn it off and on again to stop it from lagging ,96,5.0
12283,great headset,2,2.0
994,looks so cheap didn even work properly ,7,5.0
7217,jusk ok good quality,4,5.0
10775,the cord is the same length of my height but overall it great headset on the cord is velcro strip and you can tie your cord up so it not as long but overall great headset,36,3.0
15993,nd time is the charm st one wouldn turn on if not plugged in even when plugged in turned on and paired no sound comes from it it was paperweight requested replacement and it works great ,36,5.0
1354,i get it as spear mouse so didn start using it when get it it only worked for one day didn drop it or anything it just stop working update the seller reach out to me after seeing this review and agree to refund for the purchase ,47,1.0
1088,the item would charge but then would not turn on or work at all in the computer,17,2.0
14567,have the and the both great,6,1.0
5415,i don like using my mouse on my laptop so having mouse is helpful and then it lights up ,19,3.0
14529,loud sounds great super easy to connect bluetooth lasts long time between charges love this so much ,17,1.0
7583,don buy this you have to charge it every day you might as well have mouse with cord because that what it ends up being it does not take battery and hass to be charged all the time ,38,1.0
6846,nice mouse but would not charge after single use tried with the usb on the computer other usb chargers even switched their cord out ,24,5.0
13123,i am very disappointed with my order the headset worked for the first couple weeks and then stopped all of sudden you can slightly hear out of them but you cannot use the mic at all will not be buying again ,41,5.0
6451,i like the ergonomic design of this mouse and so far find it easy and smooth and to use can work on it all day long tiredlessly,27,1.0
2296,the mouse is big enough to use and very smooth with my computer always look for wireless mouse so this one is the best on amazon that could find highly recommended ,31,1.0
8675,i wanted to like this keyboard but months old and it dead battery life wasn anywhere near the advertised time be prepared for dead keyboard after couple hours playing time ,30,5.0
9156,it works well but wouldn call it quiet which is shame because that the main reason bought this product ,19,5.0
1200,easy to set up like that it is rechargeable and don need batteries ,13,5.0
14301,battery seems bad,3,5.0
13740,the headphones have nice design they the best headphones have own so far the sound quality is amazing as well ,20,4.0
7488,the mouse lasted one day changed the battery it still wont turn on urrgggg ,14,5.0
16004,banging speaker great sound and loud ,6,5.0
5811,bought it in september stopped working after few days they sent me replacement now it february and it totally died so sad use it at work ,26,5.0
15021,would recommend ,2,5.0
6216,this mouse was bad quality ,5,5.0
144,perfect in my office love the lightweight and easy to use ,11,5.0
4383,using with my new laptop ,5,1.0
2517,ergonomic,1,1.0
9025,nothing special about this keyboard not fond of the manufacturers website adding to this review after less than year of use the battery is failing one of the issues is the forced keyboard lighting there is no way to turn it off while the keyboard saw heavy use the main function wireless is hampered by poor design am reducing my review to reflect this issue after testing do not recommend this product ,72,5.0
14079,fits my head without giving me headache cancels noise good range of volume long cord ,15,1.0
11971,i definitely love the sound on these headphones and they re very comfortable which is ideal if you spend hours gaming overall very good quality and good price ,28,3.0
14348,the sound is really good it connects to bluetooth quickly and is extremely portable love it and recommend it ,19,5.0
13383,the packaging was very nice the box is high quality box that won get damaged during shipping the overall appearance when first seeing the headset was previously purchased headset that was more then double the price of the and they fell apart headset is great price and they look great ,50,5.0
9268,like use it for music production it serves it purpose to elevate the mood in room while creating music compositions etc ,21,5.0
17202,i like like like it lot ,6,5.0
15766,junk ordered of these at no time did have more than that worked returned twice hoping for replacements that actually worked in the end returned both suffered the restocking fee and bought bose ,33,5.0
13331,i ordered these as gift for my son he uses them with both his nintendo and xbox for gaming with friends no problems so far the have good sound quality and the price was very reasonable ,36,4.0
11331,would not work with any controller have only worked with my phone have different types of xbox one controllers and it didn work with any of them cheaply made poor quality ,31,5.0
11073,my son loves his headset he has no complaints and uses it pretty much daily ,15,1.0
11717,for online gaming and streaming,5,1.0
13410,very good for gaming,4,5.0
2205,used it twice was so happy with it worked great tried to use it the last days and it doesn work at all turn it on light comes on then turns off and won turn back on not pleased ,39,2.0
10468,cheap and doesn work ,4,1.0
13413,great good for gaming ,4,5.0
15503,excellent product very easy to setup and use,8,5.0
645,i bought this because it looked small and exactly what was looking for when received it turned it on and it lit up got excited to only put it to charge and it completely stopped lighting up tried everything to no avail it either fried during charging or just quit working either way returned it and got my money back ,60,5.0
1242,nice sleek design however does not hold the charge for long it frustrating when the computer is turned on and it doesn come on after switching it on ,28,1.0
8062,at first was happy with the product but now when try to click links have to press super hard to get it to work will probably return it ,28,5.0
16956,on the pricey side but well worth it for my needs it great for filling the backyard with tunes podcasts while gardening or playing with my two dogs pros loud clear sound simple operation excellent build quality available in variety of colors cons could use an eq in the app or even simple low mid hi curve control to optimize it for different listening environments can be powered on off remotely from app summary we were sufficiently impressed with the charge that we bought second unit for garage basement use ,90,5.0
6102,it good size for the work it does great price,10,4.0
7706,the first mouse did not work however was sent gift certificate for my trouble the other mouse same model works greateasy to find because of the lights,27,2.0
4356,the scroll button stopped working after months bought it in july and now only november it doesn work anymore it very unfortunate this happened would expect this will last the shape is good it easy to use and to connect but the item received unfortunately didn last will try to contact the seller and see what they say ,58,2.0
12892,the sound quality is very clear and perfect for gaming on the ps mic is clear very happy with these ,20,5.0
11217,absolutely love these headphones the cord gets in the way sometimes but the sound quality is very good and for the price love these bought red one and blue one for me and my son he loves them,38,4.0
1293,the wireless connection works great and mouse looks sleek and cool especially for the price ,15,1.0
9769,if your looking for wireless gaming keyboard that won set you back few hundred bucks this is the keyboard for you honestly was expecting piece of junk for the price but also didn want to spend bunch on an expensive gaming keyboard as im not an avid player this keyboard is quiet easy to set up and boy its cheap even if you dont like it you can always give it to someone and they probably would appreciate it ,79,5.0
7715,it looks good feels good but just works poorly did not track smoothly at all and more times than not trying to get the pointer to stop having little seizure on the screen tried with and without pad under it ,40,3.0
16276,it stopped charging when plugged in it out of battery and can no longer use it ,16,5.0
3253,i like my new mouse needed an inexpensive yet durable mouse and this one has been great so far have only used it for day but so far so good great purchase ,32,4.0
15093,for only few dollars over this works great and the sound is very good ,14,5.0
4187,granddaughter likes the lights,4,4.0
4188,you get about hours use time on this and then you have to charge it up separately not worth the trouble ,21,5.0
598,people are right this is rip off waste of money it only worked for week wow,16,5.0
8904,first of all the keyboard is very loud not silent at all not even close second the discription claims this keyboard is compatible with xbox one it is not false advertising and loud very other than that it looks nice,40,4.0
5559,i get it as spear mouse so didn start using it when get it it only worked for one day didn drop it or anything it just stop working update the seller reach out to me after seeing this review and agree to refund for the purchase ,47,2.0
10180,i have trouble getting it to keep up good audio sometimes it ok but it been going downhill steadily for year mic has only one axis of rotation so can get it closer to my mouth that part of the issue but only part it also not very comfy as the spring force is too strong and the earmuffs too firm overall they are cheap and they feel like it and sound like it would get something better were you ,80,2.0
6019,i really liked the color and look of the mouse but the scroll never worked even after fully charging it ,20,5.0
11542,i bought these for my daughter they worked well for the first months and then suddenly the sound quality became choppy and distorted unable to use them waste of money,30,5.0
2419,the lights on the side of the mouse are not as bright as thought they would be but still like the mouse none the less quiet clicking charges quickly ,29,2.0
11848,cord don take beating at all,6,5.0
5093,had no problem with hooking it up the colors are beautiful and vibrant very nice and convenient when traveling ,19,1.0
16807,i have had the flip for year and can say one bad thing about this product the sound is amazing excellent bass you can turn up the speaker as loud as you want no distortion range is at least feet my laptop that is the source is inside near window unbelievable range have only run out of battery twice after hours of usage ,63,5.0
2279,you get what you pay for noted have to click this mouse at least three times to get it to do what want on any button on it it is so frustrating and find myself wishing would have spent more for quality product which may now have to do anyway bc im just so unhappy with it it is so cheaply made plastic all around wonder how this can justify price of over jmo others seem to like it it just was not what am looking for used it as replacement to my imac mouse circa which finally died miss the magic mouse but not worth lol im going to have to find happy medium this mouse doesn get it at all only redeeming factor is it is rechargeable ,129,1.0
11005,sound very clear,3,3.0
8792,i just recently got into using mouse and keyboard for fps games such as cod and this is my first keyboard overall good keyboard keys are firm but press easy some buttons are shaped different than usual but that makes it easier to use them ie the enter button sweet color display goes into sleep mode after about minutes of not use to conserve battery but shoots right on as soon as you hit button over good keyboard works with xbox one,82,5.0
8075,i use this mouse for casual surfing and scrolling no gaming but it smooth and responsive and looks awesome ,19,1.0
9569,everything is good but the keys would look better with light color light it means on the left side blue purple mixes up with black color of the keyboard makes the contrast less appealing it works great on the right side though with green light blue there is no yellow though that would be better ,55,5.0
13963,this is our second purchase my son likes it alot the first one the mic went out due to he kept putting it in his mouth great headset for the money ,31,5.0
7579,product did not move smoothly across the mouse pad and did not fit my hand particularly well ,17,5.0
13969,it solid and well built and functions well the only issue is the short cord for the lights ,18,5.0
16301,this thing is nuts the sound looks material everything was so worth it ,13,5.0
7326,a well engineered mouse with long battery life good design and cutting edge wireless connectivity very easy to set up and use recommended ,23,5.0
2856,worked well but dropped it off my desk on accident and it broke and no longer works ,17,5.0
5068,i love it when first got it but now it has stopped working ,13,1.0
5409,wanted to match my keyboard and not spend too much money this little number is priced just right and the size and shape make it easy to use ,28,5.0
10179,good,1,1.0
13910,there was very good audio quality ,6,5.0
9915,product does not last long ,5,1.0
9649,could be brighter only star due to inadequate user guide ,10,1.0
771,this mouse doesn work well at all ve had it about months and the mouse doesn respond it drags and is not worth the money paid for it ,28,2.0
15531,my husband takes this everywhere he goes even the golf course lol,12,5.0
6783,bought for laptop just poor performance of mouse ,8,5.0
5590,i really want to like this mouse even more than do the colors are cute but it has flicker that just goes consistently wish could continue to use this but think am going to have to get something else the flicker drives me nuts charged it fully and there is no reason it should not work when just got it today it would also be nice if the charge cord was long enough that you could use it while it was charging ,82,5.0
7349,i love how you don need battery just recharge it great and colorfull ,13,1.0
4854,stopped working from one day to the next ,8,1.0
13200,loved this headset until weeks in the mic quit working ,10,5.0
15219,sound quality,2,4.0
7032,love the lights easy carry ,5,2.0
16980,unboxed this today and couldn listen for more than an hour muted sound no treble just overloaded with bass removing the extra bass with the bluetooth volume reduction buttons combo to produce flat sound didn help jbl hk should invest in an eq app asap to allow users increase the higher frequencies to produce their preferred output balance can even live with just preset eq settings but not this jbl didn listen to all the charge criticisms about sound quality very disappointing packaging back up to return total waste of time,91,5.0
3002,this mouse is smooth to use and feels great in my hand recommend it ,14,5.0
9127,i had wireless keyboard before purchased this one it lagged while typed and sometimes would have to sit for half minute before could start again love this keyboard it does everything need it to do love fact can charge it and never needs batteries to be replaced ,47,5.0
1590,good value for the looks good quiet buttons fancy light up feature no batteries to replace ,16,1.0
15077,big sound long battery life stylish we got the aqua blue color throw this speaker in your beach bag backpack purse you ll enjoy awesome sound anywhere you go music makes everything better great purchase ,35,5.0
15908,nice product at fair price like it loud and it is plenty loud ,13,5.0
1173,i have been using this with my work laptop which use hours daily for remote work ve had this for few weeks and only needed to charge once since then really love the feel of it it near silent and very soft click sound when using buttons like the look of it and the lights so know when it in sleep mode turns on and immediately works with one click completely operational when plugged in to charge as well the charge cord is very short but plugged into the laptop to charge it and it was long enough for me to use it right next to the usb port it was plugged into without being nuisance would love for there to be way to see the battery life on the mouse it the only thing would change add very pleased and hope it lasts long while update this mouse is still going strong still love it use it daily for work day days week still love the lights lol my one and only complaint wish we could see the battery life of the mouse have been charging one every couple of weeks just to be safe hate the laptop mouse it does work when plugged in and charging tho so that is nice just prefer wireless im not knocking off stars due to this at all just offering suggestion to somehow let us see the battery life remaining ,238,5.0
6449,i have had this mouse for less than weeks it charges doesn work at all go buy name brand that will work for more than minutes ,26,3.0
3457,super cute and so easy to use love that it so slim too ,13,5.0
14276,my brother gave to his wife loves the sound and size,11,3.0
146,do not buy this bought this in august st return period is only days and it stopped working in october rd tried different charging cords thought maybe it was the cord but no lock just completely dead ,37,1.0
9609,works great,2,5.0
9312,the keyboard did not function correctly the moment opened plugged it some of the keys just don work received broken keyboard and it pain to return due to covid ,29,1.0
7783,love this mouse it lives up to its description ,9,5.0
6004, this is so amazing recommend ,5,5.0
2360,when leave the mouse alone for couple of minutes and then start using it the mouse is really slow have trying everything to fix it need new mouse now,29,5.0
14289,not into the latest commercial fads but am very impressed by these radios the size and sound is about the same as high end radio this streaming radio has an unlimited operating range along with solving many of the problems associated with bad reception truly revolutionary breakthrough for the still strong radio listening audience living in nyc am now able to clearly listen to one of my favorite radio stations from massachusetts along with one in my area that has weak signal love its portability along with its apparently long rechargeable battery life have listened to higher rated more costly products of the same size but honestly hear very little difference own much higher end powerful stereo system for more engaging musical experience well designed water resistant portable unit that can be used at home or outdoors have fun finding some of your out of area online radio stations and enjoy this wonderful new technology ,155,5.0
13702,i like the color and sound of the product but the material could be better looks like cheap plastic,19,5.0
416,i didn realize that it was rechargeable vs battery however it gets the job done and it comfortable to use ,20,5.0
10981,daughter my love them she doesn have to hear my while doing either thing lol,15,3.0
9774,lovin it ,2,1.0
5346,my daughter loves it cute color and works great ,9,2.0
5742,i ve had this less than year it been wonderful but is starting to get skippy glitchy to where it unusable it shame it nice colorful quiet mouse but evidently not made very well ,34,1.0
16118,thankyou,1,5.0
1909,kept skipping wouldn track properly although right next to ipad,10,5.0
7229,as soon as took this out of the box knew that was probably going to be sending it back it looks nice in the picture but it is piece of cheap plastic it felt so cheap that just couldn even use it sent it right back ,46,5.0
15292,this was pandemic lockdown buy my wife and were spending lot of time outside on our patio our happy hours were missing something great sounds this speaker delivers great sound at low mid and high range it can also play very loud although we keep the volume pretty low to be respectful of our neighbors would recommend this speaker to friend ,61,4.0
6871,the wired mouse ve been using at work was driving me insane with its loud clicking noises love the convenience of this one being wireless so it easy to use with my desktop or laptop it super easy to install and while the buttons aren completely silent they are significantly more quiet than your average mouse the colorful leds are fun but it not feature ll be using lot so far ve had no issues with connectivity or responsiveness at all certainly recommend this mouse at this price point ,89,5.0
